id,nombre,genero
1,Mercedes Ron,Romance Juvenil
2,Anna Todd,Romance Juvenil
3,Ariana Godoy,Romance Juvenil
3,Ariana Godoy,Romance Juvenil
3,Ariana Godoy,Romance Juvenil
3,Ariana Godoy,Suspenso/Fantasia
3,Ariana Godoy,Drama/Romance
3,Ariana Godoy,Drama Personal
3,Ariana Godoy,Romance Oscuro
4,Ariana Godoy,Romance Oscuro
5,Ariana Godoy,Romance Dramatico
6,Ariana Godoy,Romance Contemporaneo
7,Ariana Godoy,Romance Contemporaneo
8,Ariana Godoy,Romance Contemporaneo
9,Ariana Godoy,Romance Contemporaneo
10,Zeliri,Romance Contemporaneo
11,Mercedes Ron,Romance Juvenil
12,Mercedes Ron,Romance Juvenil
13,Mercedes Ron,Romance Juvenil
14,Mercedes Ron,Romance Juvenil
15,Mercedes Ron,Romance Juvenil
16,Mercedes Ron,Romance Juvenil
17,Mercedes Ron,Romance Juvenil
18,Meyling Soza,Romance Erotico
19,Eva Muñoz,Romance Oscuro
20,Nadine Doyle,Romance Dramatico
21,Ariana Godoy,Romance Oscuro
22,Mercedes Ron,Romance Dramatico
23,Alexandra Reverol,Romance Contemporaneo
24,Anna Todd,Romance Juvenil
25,Anna Todd,Romance Juvenil
26,Alice Vandecamp,Romance Contemporaneo
27,Mary Rojas,Terror
28,Lirio Blanco,Romance Oscuro
29,Elísabet Benavent,Romance Contemporaneo
30,Elena Armas,Romance Contemporaneo
31,Elena Armas,Romance Contemporaneo
32,Elena Armas,Romance Contemporaneo
33,Elena Armas,Romance Contemporaneo
34,Mary Rojas,Romance Contemporaneo
35,Ida Gonzalez,Romance Oscuro
36,Mary Rojas,Drama Legal
37,Mercedes Ron,Romance Juvenil
38,Mercedes Ron,Romance Juvenil
90,Nicol,Drama

