id,titulo,autor_id,anio_publicacion,genero,plataforma,viral_en_tiktok,portada,eliminado
1,Culpa mia,1,2017,Romance Juvenil,Wattpad,True,culpamia.jpg,
2,After: Aqui empieza todo,2,2014,Romance Juvenil,Wattpad,True,afteraquiempiezatodo.jpg,
3,A traves de mi ventana,3,2019,Romance Juvenil,Wattpad,True,atravesdemiventana.jpg,
4,A traves de ti,3,2021,Romance Juvenil,Wattpad,False,atravesdeti.jpg,
5,A traves de la lluvia,3,2022,Romance Juvenil,Wattpad,True,atravesdelalluvia.jpg,
6,Mi amor de Wattpad,3,2011,Romance Juvenil,Wattpad,True,miamordewattpad.jpg,
7,Heist,3,2021,Suspenso/Fantasia,Wattpad,False,heist.jpg,
8,Fleur: Mi desesperada decision,3,2022,Drama/Romance,Wattpad,True,fleurmidesesperadadecision.jpg,
9,Sigue mi voz,3,2022,Drama Personal,Wattpad,False,siguemivoz.jpg,
10,Perfecto caos,8,2025,Romance Contemporaneo,Wattpad,True,perfectocaos.jpg,
11,30 sunsets para enamorarte,1,2023,Romance Juvenil,Wattpad,False,30sunsetsparaenamorarte.jpg,
12,10000 millas para encontrarte,1,2023,Romance Juvenil,Wattpad,True,10000millasparaencontrarte.jpg,
13,Dimelo bajito,1,2020,Romance Juvenil,Wattpad,False,dimelobajito.jpg,
14,Dimelo en secreto,1,2020,Romance Juvenil,Wattpad,True,dimeloensecreto.jpg,
15,Dimelo con besos,1,2021,Romance Juvenil,Wattpad,False,dimeloconbesos.jpg,
16,Marfil,1,2019,Romance Juvenil,Wattpad,True,marfil.jpg,
17,Ebano,1,2019,Romance Juvenil,Wattpad,False,ebano.jpg,
18,Entregada al infierno,19,2024,Romance Erotico,Booknet,False,entregadaalinfierno.jpg,
19,Queen,4,2024,Romance Oscuro,Booknet,True,queen.jpg,
20,Siete años de indiferencia,5,2024,Romance Dramatico,Booknet,False,sieteanosdeindiferencia.jpg,
21,El angel del diablo,3,2024,Romance Oscuro,Booknet,True,elangeldeldiablo.jpg,
22,Imperdonable,1,2024,Romance Dramatico,Booknet,False,imperdonable.jpg,
23,Novia por contrato,21,2024,Romance Contemporaneo,Booknet,True,noviaporcontrato.jpg,
24,After: En mil pedazos,2,2015,Romance Juvenil,Wattpad,False,afterenmilpedazos.jpg,
25,After: Almas perdidas,2,2016,Romance Juvenil,Wattpad,True,afteralmasperdidas.jpg,
26,Detras de las Gafas Rosas,9,2024,Romance Contemporaneo,Booknet,False,detrasdelasgafasrosas.jpg,
27,Noface La mujer de la mascara,16,2024,Terror,Booknet,False,nofacelamujerdelamascara.jpg,
28,La perdicion de Aiton,20,2024,Romance Oscuro,Booknet,False,laperdiciondeaiton.jpg,
29,Un cuento perfecto,6,2020,Romance Contemporaneo,Wattpad,True,uncuentoperfecto.jpg,
30,The Spanish Love Deception,5,2021,Romance Contemporaneo,Wattpad,True,thespanishlovedeception.jpg,
31,The American Roommate Experiment,5,2022,Romance Contemporaneo,Wattpad,False,theamericanroommateexperiment.jpg,
32,The Long Game,5,2023,Romance Contemporaneo,Wattpad,True,thelonggame.jpg,
33,The Fiance Dilemma,5,2024,Romance Contemporaneo,Wattpad,False,thefiancedilemma.jpg,
34,Cuando yo te ame,13,2024,Romance Contemporaneo,Booknet,True,cuandoyoteame.jpg,
35,Verena La elegida,13,2024,Romance Oscuro,Booknet,False,verenalaelegida.jpg,
36,El juez,18,2024,Drama Legal,Booknet,False,eljuez.jpg,
37,Culpa tuya,1,2017,Romance Juvenil,Wattpad,True,culpatuya.jpg,
38,Culpa nuestra,1,2018,Romance Juvenil,Wattpad,False,culpanuestra.jpg,
39,Hola,90,2019,Drama,Wattpad,True,WhatsApp Image 2025-06-03 at 4.30.14 PM.jpeg,no
